,英文,中文
0,a/an,art. 一个
1,ability,n. 能力
2,about,prep. 关于
3,above,"prep.超过,在上面,以上所述"
4,abroad,n. 海外  adv. 往国外
5,absent,v. 缺席 adj.缺席的
6,accept,v. 接受
7,accident,n. 事故
8,according to,prep. 根据
9,account*,n. 账户 v. 解释
10,ache*,n. 疼痛
11,achieve,"v.取得,获得,实现,成功"
12,across,prep.穿过 adv.在对面
13,act,"v. 行动,表现,起作用"
14,action,n. 行动，活动
15,active,adj. 积极的，主动的
16,activity,n. 活动
17,actor,n. 演员，男演员
18,actress,n. 女演员
19,actual,adj. 真实的，实际的
20,actually*,adv. 事实上，的确
21,add,v. 增加，添加
22,address,"v. 称呼,提出  n.地址"
23,admire,v. 钦佩，赞美，称赞
24,adult,n. 成年人 adj. 成年的
25,advantage,n. 优势，利益
26,advertise,v. 为......做广告
27,advertisement*,n. 广告
28,advice,n. 建议，忠告
29,advise,v. 建议，劝告
30,amazing*,adj. 令人惊奇的
31,America,n. 美国
32,American,n. 美国人 adj. 美国的
33,among,prep. 在…中间
34,ancient,adj. 古老的，古代的
35,and,conj. 和，而且
36,angry,adj. 生气的
37,animal,n. 动物
38,another,det. 另一个+名词单数
39,answer,n. 答案  v. 回答
40,ant,n. 蚂蚁
41,any,det. / pron. 任何一个
42,anybody,"pron. 任何人, 平常人"
43,anyone,"pron. 任何人, 某个人"
44,anything,"pron. 任何事物,某事物"
45,anyway,adv. 无论如何
46,anywhere,"adv.任何地方,无论何处"
47,apartment*,n. 公寓
48,app*,n. 应用，应用程序
49,application*,
50,appear,v. 出现，显得，似乎
51,apple,n. 苹果
52,area,n. 地区
53,argue,v. 争论，辩论
54,arm,"n. 手臂 v. 武装, 备战"
55,army,n. 军队
56,around,prep. 围绕 adv. 四周
57,arrive,v. 到达
58,art,n. 艺术， 美术
59,article,"n. 文章, 物品, 条款"
60,badminton*,n. 羽毛球
61,bag,n. 袋子，手提包
62,balance,n. 平衡
63,ball,n. 球
64,balloon,n. 气球
65,bamboo,n. 竹子
66,banana,n. 香蕉
67,band*,n. 乐队
68,bank,n. 银行
69,baseball,n. 棒球
70,basic,adj. 基本的
71,basket,n. 篮，筐，篓
72,basketball,n. 篮球
73,bat*,n. 球棒，蝙蝠
74,bath*,n. 洗澡
75,bathroom,n. 浴室，洗手间
76,be,v. 存在，是
77,be able to,v. 能 = can
78,beach,n. 沙滩，海滩
79,bean,n. 豆子
80,bear,n. 熊   v. 承受，忍耐
81,beat,v. 打败
82,beautiful,adj. 美丽的
83,because,conj. 因为
84,become,v. 成为
85,bed,n. 床
86,bedroom,n. 卧室
87,bee*,n. 蜜蜂
88,beef,n. 牛肉
89,before,prep./conj. 在...之前
90,blouse,n. (女士)短上衣
91,blow,v. 吹
92,blue,n. 蓝色 adj. 蓝色的
93,board,n. 木板
94,boat,n. 小船
95,body,n. 身体，躯干
96,boil*,v. 煮，煮沸
97,book,n. 书，书本
98,bored,adj. 感到无聊的
99,boring,adj. 令人感到无聊的
100,born,v. 出生，形成
101,borrow,v. 借
102,boss,n. 老板
103,both,det. / pron. 两个都
104,bottle,n. 瓶子
105,bottom,n. 底部
106,bowl,n. 碗，盆，钵
107,box,n. 盒子，箱子
108,boy,n. 男孩
109,brain,n. 大脑
110,brave,adj. 勇敢的
111,bread,n. 面包
112,break,"v. 打破  n. 休息,暂停"
113,breakfast,n. 早餐
114,breath*,n. 呼吸
115,breathe,v. 呼吸
116,bridge,n. 桥
117,bright,adj. 明亮的
118,bring,v. 带来
119,Britain,n. 英国
120,candy,n. 糖果
121,cap,n. 鸭舌帽，便帽
122,capital,n. 首都，资本
123,car,n. 小汽车
124,card,n. 卡片
125,care,v. 关心，关注
126,careful,adj. 小心的，用心的
127,careless,adj. 粗心的
